source_role,target_role,similarity_score,transition_probability,shared_skills,cluster_affinity,centrality_score,evidence
Ejecutivo Comercial TI,Indra Colombia LTDA,1.0,0.846,"[""AI"", ""APIs"", ""Agile"", ""Azure"", ""ELT"", ""Kanban"", ""MLflow"", ""Python""]",AI Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Indra Colombia LTDA""]}"
Ejecutivo Comercial TI,Técnico de Soporte,1.0,0.846,"[""AWS"", ""compliance"", ""comunicacion"", ""reporting"", ""security""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Técnico de Soporte""]}"
Ejecutivo Comercial TI,Administrador Linux,1.0,0.846,"[""AWS"", ""Azure"", ""KPIs"", ""compliance"", ""comunicacion"", ""reporting"", ""security""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Administrador Linux""]}"
Ejecutivo Comercial TI,Desarrollador Backend .NET Senior (hibrido),1.0,0.846,"[""AI"", ""APIs"", ""AWS"", ""Agile"", ""Azure"", ""ELT"", ""KPIs"", ""Kanban""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Desarrollador Backend .NET Senior (hibrido)""]}"
Ejecutivo Comercial TI,CS3 SAS,1.0,0.846,"[""APIs"", ""Azure"", ""comunicacion"", ""reporting"", ""security""]",Enterprise Analytics,0.55,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""CS3 SAS""]}"
Ejecutivo Comercial TI,Administrador de Aplicaciones (Oracle / WebLogic / Middleware),1.0,0.846,"[""APIs"", ""AWS"", ""Agile"", ""Azure"", ""Python"", ""compliance"", ""comunicacion"", ""gestion de stakeholders""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Administrador de Aplicaciones (Oracle / WebLogic / Middleware)""]}"
Ejecutivo Comercial TI,Ingeniero Preventa - Administrador de Plataforma,1.0,0.846,"[""AWS"", ""Azure"", ""KPIs"", ""Python"", ""compliance"", ""comunicacion"", ""gestion de stakeholders"", ""liderazgo""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Ingeniero Preventa - Administrador de Plataforma""]}"
Ejecutivo Comercial TI,Líder IA Generativa-GitHub Copilot-Bogotá,1.0,0.846,"[""AI"", ""APIs"", ""AWS"", ""Azure"", ""comunicacion"", ""security""]",AI Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Líder IA Generativa-GitHub Copilot-Bogotá""]}"
Ejecutivo Comercial TI,Ingeniero de Soporte Infraestructura Junior,1.0,0.846,"[""AWS"", ""Agile"", ""Azure"", ""Python"", ""compliance"", ""comunicacion"", ""reporting"", ""security""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Ingeniero de Soporte Infraestructura Junior""]}"
Ejecutivo Comercial TI,Analista Funcional de Procesos de Software,1.0,0.846,"[""AI"", ""APIs"", ""AWS"", ""Agile"", ""Azure"", ""ELT"", ""Kanban"", ""MLflow""]",AI Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Analista Funcional de Procesos de Software""]}"
